Account 12:20:40.637 [pool-3-thread-1] ERROR org.jsxm.jsxmcore.util.XML - IOException : No 'definitions.xml' file. Continue with no definitions.
Account 12:20:40.645 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - TYPES USED in the specification: 
Account 12:20:40.646 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - Standard types: 
Account 12:20:40.646 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - xs:int 
Account 12:20:40.646 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - User defined types: 
Account 12:20:40.646 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - 

Account 12:20:40.646 [pool-3-thread-1] WARN  org.jsxm.jsxmcore.core.SXMBaseGeneration - 
Warning in the specification:
Account 12:20:40.646 [pool-3-thread-1] WARN  org.jsxm.jsxmcore.core.SXMBaseGeneration - No [methods] tag.
Account 12:20:40.646 [pool-3-thread-1] WARN  org.jsxm.jsxmcore.core.SXMBaseGeneration - 

Account 12:20:40.646 [pool-3-thread-1] WARN  org.jsxm.jsxmcore.core.SXMBaseGeneration - 
Warning in the specification:
Account 12:20:40.646 [pool-3-thread-1] WARN  org.jsxm.jsxmcore.core.SXMBaseGeneration - No [methods] tag.
Account 12:20:40.647 [pool-3-thread-1] WARN  org.jsxm.jsxmcore.core.SXMBaseGeneration - 

Account 12:20:40.647 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - [getBalance -> getBalanceOut # [], deposit -> depositOut # [], close -> closeOut # [], open -> openOut # [], withdraw -> withdrawOut # []]
Account 12:20:40.650 [pool-3-thread-1] INFO  org.jsxm.maven.plugin.jsxmtool.compilation.sxm.SxmCompiler - ---  Java files from JSXM specification Account.xml generated successfully ---
Account 12:20:41.087 [main] INFO  org.jsxm.maven.plugin.jsxmtool.utilities.JSXMUtils - Txt path : C:\Tools\Proiect MFIS\jsxm\Account\src\spec\jsxmLogs\Account\Account.txt
Account 12:20:41.087 [main] INFO  org.jsxm.maven.plugin.jsxmtool.utilities.JSXMUtils - Pdf path : C:\Tools\Proiect MFIS\jsxm\Account\src\spec\jsxmLogs\Account\Account.pdf
Account 12:20:41.214 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.SetsReader - No [separablestates] tag in C:\Tools\Proiect MFIS\jsxm\Account/src/spec/org\jsxm\examples\Bank\Account\\specification\Account_sets.xml
Account 12:20:41.215 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.SetsReader - It is assumed that all states are pairwire separable.
Account 12:20:41.215 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - STATE COVER : [[], [open], [open,close], [open,deposit]]
Account 12:20:41.215 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - CHARACTERIZATION SET : [[open], [close], [deposit]]
Account 12:20:41.216 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - FUNCTION SET : [open, close, deposit, withdrawN, withdraw0, readbalance]
Account 12:20:41.216 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - All states are assumed to be pairwise separable. Applying W-method
Account 12:20:41.216 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.util.Various - ------------------------------------------------------------
Account 12:20:41.216 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - Generating test set sequences for the associated automaton.
Account 12:20:41.216 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - S PHI[k+1] W
Account 12:20:41.216 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - Resulting sequences: [f1,...,fk,fk+1], where [f1,...,fk] in Language
Account 12:20:41.216 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - k = 2
Account 12:20:41.216 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - PHI^n, n=0
Account 12:20:41.217 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - PHI^n, n=1
Account 12:20:41.217 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - PHI^n, n=2
Account 12:20:41.218 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - PHI^n, n=3
Account 12:20:41.222 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - 286 test cases
Account 12:20:41.222 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 1 : [open] 
Account 12:20:41.222 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 2 : [close] 
Account 12:20:41.222 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 3 : [deposit] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 4 : [withdrawN] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 5 : [withdraw0] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 6 : [readbalance] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 7 : [open,open] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 8 : [open,close] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 9 : [open,deposit] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 10 : [open,withdrawN] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 11 : [open,withdraw0] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 12 : [open,close,open] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 13 : [open,close,close] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 14 : [open,close,deposit] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 15 : [open,deposit,open] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 16 : [open,deposit,close] 
Account 12:20:41.223 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 17 : [open,deposit,deposit] 
Account 12:20:41.224 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 18 : [open,readbalance,open] 
Account 12:20:41.224 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 19 : [open,readbalance,close] 
Account 12:20:41.224 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 20 : [open,readbalance,deposit] 
Account 12:20:41.224 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 21 : [open,close,withdrawN] 
Account 12:20:41.224 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 22 : [open,close,withdraw0] 
Account 12:20:41.224 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 23 : [open,close,readbalance] 
Account 12:20:41.224 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 24 : [open,readbalance,withdrawN] 
Account 12:20:41.224 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 25 : [open,readbalance,withdraw0] 
Account 12:20:41.224 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 26 : [open,deposit,deposit,open] 
Account 12:20:41.224 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 27 : [open,deposit,deposit,close] 
Account 12:20:41.224 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 28 : [open,deposit,deposit,deposit] 
Account 12:20:41.224 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 29 : [open,deposit,withdrawN,open] 
Account 12:20:41.224 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 30 : [open,deposit,withdrawN,close] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 31 : [open,deposit,withdrawN,deposit] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 32 : [open,deposit,withdraw0,open] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 33 : [open,deposit,withdraw0,close] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 34 : [open,deposit,withdraw0,deposit] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 35 : [open,deposit,readbalance,open] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 36 : [open,deposit,readbalance,close] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 37 : [open,deposit,readbalance,deposit] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 38 : [open,readbalance,close,open] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 39 : [open,readbalance,close,close] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 40 : [open,readbalance,close,deposit] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 41 : [open,readbalance,deposit,open] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 42 : [open,readbalance,deposit,close] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 43 : [open,readbalance,deposit,deposit] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 44 : [open,readbalance,readbalance,open] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 45 : [open,readbalance,readbalance,close] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 46 : [open,readbalance,readbalance,deposit] 
